"X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
7,5,"mar","fri",4.46820433091493,26.2,94.3,1.80828877117927,8.2,51,6.7,0,0
7,4,"oct","tue",4.51743127168008,35.4,669.1,2.04122032885964,18,33,0.9,0,0
7,4,"oct","sat",4.51743127168008,43.7,686.9,2.04122032885964,14.6,33,1.3,0,0
8,6,"mar","fri",4.52936847257181,33.3,77.5,2.30258509299405,8.3,97,4,0.182321556793955,0
8,6,"mar","sun",4.50313746042294,51.3,102.2,2.36085400111802,11.4,99,1.8,0,0
8,6,"aug","sun",4.5358201078533,85.3,488,2.75366071235426,22.2,29,5.4,0,0
8,6,"aug","mon",4.5358201078533,88.9,495.6,2.2512917986065,24.1,27,3.1,0,0
8,6,"aug","mon",4.52720864451838,145.4,608.2,2.45958884180371,8,86,2.2,0,0
8,6,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,13.1,63,5.4,0,0
7,5,"sep","sat",4.53796143629464,88,698.6,2.09186406167839,22.8,40,4,0,0
7,5,"sep","sat",4.53796143629464,88,698.6,2.09186406167839,17.8,51,7.2,0,0
7,5,"sep","sat",4.54116485601218,73.2,713,3.16124671203156,19.3,38,4,0,0
6,5,"aug","fri",4.16666522380173,70.8,665.3,0.587786664902119,17,72,6.7,0,0
6,5,"sep","mon",4.52070102936164,126.5,686.5,2.07944154167984,21.3,42,2.2,0,0
6,5,"sep","wed",4.54223038621422,133.3,699.6,2.32238772029023,26.4,21,4.5,0,0
6,5,"sep","fri",4.54648118963941,141.2,713.9,2.70136121295141,22.9,44,5.4,0,0
5,5,"mar","sat",4.52936847257181,35.8,80.8,2.17475172148416,15.1,27,5.4,0,0
8,5,"oct","mon",4.45318382899021,32.8,664.2,1.38629436111989,16.7,47,4.9,0,0
6,4,"mar","wed",4.50202942706858,27.9,70.8,1.98787434815435,15.9,35,4,0,0
6,4,"apr","sat",4.46935046284556,27.4,97.1,1.80828877117927,9.3,44,4.5,0,0
6,4,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,18.3,40,2.7,0,0
5,4,"sep","mon",4.53044663979215,78.5,724.3,2.32238772029023,19.1,38,2.7,0,0
7,4,"jun","sun",4.55702981066016,96.3,200,4.04480411666196,21,44,4.5,0,0
7,4,"aug","sat",4.51305489708029,110.9,537.4,1.97408102602201,19.5,43,5.8,0,0
7,4,"aug","sat",4.5485998344997,139.4,594.2,3.05870707271538,23.7,32,5.8,0,0
7,4,"aug","sun",4.52612697864764,142.4,601.4,2.45100509811232,16.3,60,5.4,0,0
7,4,"sep","fri",4.5368913452348,117.9,668,2.58021682959233,19,34,5.8,0,0
7,4,"sep","mon",4.52070102936164,126.5,686.5,2.07944154167984,19.4,48,1.3,0,0
6,3,"sep","sat",4.54754107315146,145.4,721.4,2.2082744135228,30.2,24,2.7,0,0
6,3,"sep","sun",4.5485998344997,149.3,728.6,2.2082744135228,22.8,39,3.6,0,0
6,3,"sep","fri",4.55702981066016,85.1,692.3,2.82731362192903,25.4,24,3.6,0,0
6,3,"sep","mon",4.49535531998088,91.8,709.9,2.09186406167839,11.2,78,7.6,0,0
6,3,"sep","fri",4.49535531998088,69.7,706.8,1.91692261218206,20.6,37,1.8,0,0
6,3,"sep","sun",4.52936847257181,75.6,718.3,2.17475172148416,17.7,39,3.6,0,0
6,3,"sep","mon",4.53044663979215,78.5,724.3,2.32238772029023,21.2,32,2.7,0,0
6,3,"sep","tue",4.51415078760092,80.7,730.2,1.98787434815435,18.2,62,4.5,0,0
6,3,"oct","tue",4.51743127168008,35.4,669.1,2.04122032885964,21.7,24,4.5,0,0
7,4,"oct","fri",4.51085950651685,41.5,682.6,2.27212588550934,11.3,60,5.4,0,0
7,3,"oct","sat",4.51743127168008,43.7,686.9,2.04122032885964,17.8,27,4,0,0
4,4,"mar","tue",4.48975933447676,25.7,67.6,1.56861591791385,14.1,43,2.7,0,0
4,4,"jul","tue",4.38825718442452,60.6,366.7,0.916290731874155,23.3,37,3.1,0,0
4,4,"aug","sat",4.51305489708029,96.9,624.2,2.29253475714054,18.4,42,6.7,0,0
4,4,"aug","tue",4.56226268497681,108.3,647.1,2.89037175789616,16.6,54,5.4,0,0
4,4,"sep","sat",4.53796143629464,88,698.6,2.09186406167839,19.6,48,2.7,0,0
4,4,"sep","wed",4.51195780426591,82.9,735.7,1.97408102602201,12.9,74,4.9,0,0
5,6,"sep","wed",4.55702981066016,85.1,692.3,2.82731362192903,25.9,24,4,0,0
5,6,"sep","mon",4.52070102936164,126.5,686.5,2.07944154167984,14.7,70,3.6,0,0
6,6,"jul","mon",4.55597994179732,62.3,442.9,2.484906649788,23,36,3.1,0,0
4,4,"mar","mon",4.47960696301275,23.9,64.7,1.62924053973028,11.8,35,1.8,0,0
4,4,"mar","mon",4.48413185761104,52.2,103.8,1.79175946922805,11,46,5.8,0,0
4,4,"sep","thu",4.54223038621422,137,706.4,2.32238772029023,20.8,17,1.3,0,0
4,3,"aug","sun",4.51305489708029,99.6,631.2,1.98787434815435,21.5,34,2.2,0,0
4,3,"aug","wed",4.53367418428302,111.2,654.1,2.36085400111802,20.4,42,4.9,0,0
4,3,"aug","wed",4.53367418428302,111.2,654.1,2.36085400111802,20.4,42,4.9,0,0
4,3,"aug","thu",4.52936847257181,114.3,661.3,1.98787434815435,17.6,45,3.6,0,0
4,3,"sep","thu",4.54223038621422,137,706.4,2.32238772029023,27.7,24,2.2,0,0
4,3,"sep","tue",4.51415078760092,80.7,730.2,1.98787434815435,17.8,63,4.9,0,0
4,3,"oct","sun",4.53903038348355,46.5,691.8,2.28238238567653,13.8,50,2.7,0,0
2,2,"feb","mon",4.44265125649032,9.3,34,1.1314021114911,13.9,40,5.4,0,0
2,2,"feb","fri",4.47278099794235,13.2,43,1.84054963339749,12.3,51,0.9,0,0
2,2,"mar","sun",4.50313746042294,51.3,102.2,2.36085400111802,11.5,39,5.8,0,0
2,2,"mar","sun",4.50313746042294,51.3,102.2,2.36085400111802,5.5,59,6.3,0,0
2,2,"aug","thu",4.54329478227,75.3,466.6,2.16332302566054,18.8,35,4.9,0,0
2,2,"aug","sun",4.51305489708029,99.6,631.2,1.98787434815435,20.8,33,2.7,0,0
2,2,"aug","mon",4.52287494326126,103.2,638.8,1.91692261218206,23.1,31,3.1,0,0
2,2,"aug","thu",4.52936847257181,114.3,661.3,1.98787434815435,18.6,44,4.5,0,0
2,2,"sep","fri",4.5368913452348,117.9,668,2.58021682959233,23,37,4.5,0,0
2,2,"sep","fri",4.5368913452348,117.9,668,2.58021682959233,19.6,33,5.4,0,0
2,2,"sep","fri",4.5368913452348,117.9,668,2.58021682959233,19.6,33,6.3,0,0
4,5,"mar","fri",4.52936847257181,33.3,77.5,2.30258509299405,17.2,26,4.5,0,0
4,5,"mar","fri",4.52396013056255,48.3,97.8,2.60268968544438,15.8,27,7.6,0,0
4,5,"sep","fri",4.55702981066016,85.1,692.3,2.82731362192903,17.7,37,3.6,0,0
5,4,"mar","fri",4.52936847257181,33.3,77.5,2.30258509299405,15.6,25,6.3,0,0
5,4,"aug","tue",4.49758497530815,147.3,614.5,2.30258509299405,17.3,43,4.5,0,0
5,4,"sep","fri",4.54648118963941,141.2,713.9,2.70136121295141,27.6,30,1.3,0,0
9,9,"feb","thu",4.44500143383527,6.8,26.6,2.16332302566054,6.7,79,3.1,0,0
9,9,"feb","fri",4.47278099794235,13.2,43,1.84054963339749,15.7,43,3.1,0,0
1,3,"mar","mon",4.48413185761104,52.2,103.8,1.79175946922805,8.3,72,3.1,0,0
1,2,"aug","fri",4.51195780426591,108,529.8,2.60268968544438,14.7,66,2.7,0,0
1,2,"aug","tue",4.52178857704904,121.2,561.6,2.07944154167984,21.6,19,6.7,0,0
1,2,"aug","sun",4.52612697864764,142.4,601.4,2.45100509811232,19.5,39,6.3,0,0
1,2,"aug","sun",4.51305489708029,99.6,631.2,1.98787434815435,17.9,44,2.2,0,0
1,2,"aug","tue",4.56226268497681,108.3,647.1,2.89037175789616,18.6,51,4.5,0,0
1,2,"aug","wed",4.53367418428302,111.2,654.1,2.36085400111802,16.6,47,0.9,0,0
1,2,"aug","thu",4.52936847257181,114.3,661.3,1.98787434815435,20.2,45,3.6,0,0
1,2,"sep","thu",4.54223038621422,137,706.4,2.32238772029023,21.5,15,0.9,0,0
1,2,"sep","thu",4.54223038621422,137,706.4,2.32238772029023,25.4,27,2.2,0,0
1,2,"sep","thu",4.54223038621422,137,706.4,2.32238772029023,22.4,34,2.2,0,0
1,2,"sep","sun",4.5485998344997,149.3,728.6,2.2082744135228,25.3,36,3.6,0,0
6,5,"mar","sat",4.52936847257181,35.8,80.8,2.17475172148416,17.4,25,4.9,0,0
6,5,"aug","sat",4.51305489708029,96.9,624.2,2.29253475714054,14.7,59,5.8,0,0
8,6,"mar","fri",4.52936847257181,35.8,80.8,2.17475172148416,17.4,24,5.4,0,0
8,6,"aug","sun",4.5358201078533,85.3,488,2.75366071235426,20.8,32,6.3,0,0
8,6,"aug","sun",4.52612697864764,142.4,601.4,2.45100509811232,18.2,43,4.9,0,0
8,6,"aug","mon",4.52287494326126,103.2,638.8,1.91692261218206,23.4,22,2.7,0,0
4,4,"sep","sun",4.50755735712109,90,704.4,1.75785791755237,17.8,64,1.3,0,0
3,4,"feb","sat",4.4414740933173,8,30.2,1.28093384546206,12.7,48,1.8,0,0
3,4,"mar","sat",4.24849524204936,2.4,15.5,0.53062825106217,17.4,24,5.4,0,0
3,4,"aug","sun",4.52612697864764,142.4,601.4,2.45100509811232,11.6,87,4.5,0,0
3,4,"aug","sun",4.52612697864764,142.4,601.4,2.45100509811232,19.8,39,5.4,0,0
3,4,"aug","sun",4.52612697864764,142.4,601.4,2.45100509811232,19.8,39,5.4,0,0
3,4,"aug","tue",4.49758497530815,147.3,614.5,2.30258509299405,14.4,66,5.4,0,0
2,4,"aug","tue",4.56226268497681,108.3,647.1,2.89037175789616,20.1,40,4,0,0
2,4,"sep","sat",4.53796143629464,121.1,674.4,2.26176309847379,24.1,29,4.5,0,0
2,4,"jan","sat",4.4200447018614,3.7,9.3,1.3609765531356,5.3,78,3.1,0,0
4,5,"mar","fri",4.46475803227135,19.5,57.3,1.33500106673234,12.7,52,6.3,0,0
4,5,"mar","thu",4.52612697864764,30.7,74.3,2.14006616349627,18.2,29,3.1,0,0
4,5,"aug","sun",4.51305489708029,99.6,631.2,1.98787434815435,21.4,33,3.1,0,0
4,5,"sep","sat",4.53796143629464,88,698.6,2.09186406167839,20.3,45,3.1,0,0
4,5,"sep","mon",4.49535531998088,91.8,709.9,2.09186406167839,17.4,56,5.4,0,0
4,4,"mar","fri",4.46475803227135,19.5,57.3,1.33500106673234,13.7,43,5.8,0,0
3,4,"mar","fri",4.52936847257181,33.3,77.5,2.30258509299405,18.8,18,4.5,0,0
3,4,"sep","sun",4.50755735712109,90,704.4,1.75785791755237,22.8,39,3.6,0,0
3,4,"sep","mon",4.53044663979215,78.5,724.3,2.32238772029023,18.9,35,2.7,0,0
3,4,"mar","tue",4.48975933447676,25.7,67.6,1.56861591791385,15.8,27,7.6,0,0
3,5,"mar","tue",4.48975933447676,25.7,67.6,1.56861591791385,15.5,27,6.3,0,0
3,4,"mar","sat",4.52936847257181,35.8,80.8,2.17475172148416,11.6,30,6.3,0,0
3,4,"mar","sat",4.52936847257181,35.8,80.8,2.17475172148416,15.2,27,4.9,0,0
3,4,"mar","mon",4.51195780426591,39.7,86.6,1.97408102602201,10.6,30,4,0,0
3,4,"aug","thu",4.54329478227,75.3,466.6,2.16332302566054,19.6,36,3.1,0,0
3,4,"aug","mon",4.52720864451838,145.4,608.2,2.45958884180371,10.3,74,2.2,0,0
3,4,"aug","mon",4.52720864451838,145.4,608.2,2.45958884180371,17.1,43,5.4,0,0
3,4,"sep","sun",4.5368913452348,124.1,680.7,2.2512917986065,22.5,42,5.4,0,0
3,4,"sep","tue",4.44734610079452,73.4,671.9,1.43508452528932,17.9,45,3.1,0,0
3,4,"sep","fri",4.55702981066016,85.1,692.3,2.82731362192903,19.8,50,5.4,0,0
3,4,"oct","sun",4.53903038348355,46.5,691.8,2.28238238567653,20.6,24,5.4,0,0
3,5,"mar","mon",4.48413185761104,52.2,103.8,1.79175946922805,9,49,2.2,0,0
3,5,"sep","fri",4.5485998344997,149.3,728.6,2.2082744135228,17.2,43,3.1,0,0
3,5,"oct","wed",4.52612697864764,37.9,673.8,1.82454929205105,15.9,46,3.6,0,0
2,5,"oct","sun",4.53903038348355,46.5,691.8,2.28238238567653,15.4,35,0.9,0,0
4,6,"feb","sat",4.23700086262362,21.5,87.2,0.587786664902119,15.4,40,2.7,0,0
4,6,"mar","mon",4.47960696301275,23.9,64.7,1.62924053973028,14,39,3.1,0,0
4,6,"mar","sun",4.50313746042294,51.3,102.2,2.36085400111802,10.6,46,4.9,0,0
4,6,"sep","thu",4.55071400019203,80.9,685.2,2.9391619220656,17.6,42,3.1,0,0
3,5,"mar","tue",4.48975933447676,25.7,67.6,1.56861591791385,14.9,38,2.7,0,0
3,5,"aug","sat",4.5485998344997,139.4,594.2,3.05870707271538,17.6,52,5.8,0,0
3,6,"sep","sun",4.5368913452348,124.1,680.7,2.2512917986065,17.2,58,1.3,0,0
3,6,"sep","mon",4.52070102936164,126.5,686.5,2.07944154167984,15.6,66,3.1,0,0
9,9,"jul","tue",4.4636066216663,48.3,313.4,1.58923520511658,18,42,2.7,0,0.307484699747961
1,4,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,21.7,38,2.2,0,0.357674444271816
2,5,"sep","mon",4.52070102936164,126.5,686.5,2.07944154167984,21.9,39,1.8,0,0.385262400790645
1,2,"aug","wed",4.56954300834494,99.9,513.3,2.65324196460721,23.3,31,4.5,0,0.438254930931155
8,6,"aug","fri",4.51195780426591,108,529.8,2.60268968544438,21.2,51,8.9,0,0.476234178996372
1,2,"jul","sat",4.51085950651685,51.3,296.3,2.27212588550934,16.6,53,5.4,0,0.536493370514568
2,5,"aug","wed",4.56954300834494,99.9,513.3,2.65324196460721,23.8,32,5.4,0,0.570979546585738
6,5,"aug","thu",4.56642935767166,131.7,578.8,2.43361335540045,27.4,22,4,0,0.641853886172395
5,4,"mar","mon",4.51195780426591,39.7,86.6,1.97408102602201,13.2,40,5.4,0,0.667829372575655
8,3,"sep","tue",4.44734610079452,73.4,671.9,1.43508452528932,24.2,28,3.6,0,0.672944473242426
2,2,"aug","tue",4.56226268497681,108.3,647.1,2.89037175789616,17.4,43,6.7,0,0.727548607277278
8,6,"sep","thu",4.55071400019203,80.9,685.2,2.9391619220656,23.7,25,4.5,0,0.751416088683921
6,5,"jun","fri",4.53796143629464,56.4,433.3,2.09186406167839,23.2,39,5.4,0,0.783901543828409
9,9,"jul","sun",4.51195780426591,68.6,355.2,2.10413415427021,24.8,29,2.2,0,0.858661619037519
3,4,"jul","sat",4.51195780426591,51.2,424.1,1.97408102602201,24.6,43,1.8,0,0.887891257352457
5,4,"sep","fri",4.55702981066016,85.1,692.3,2.82731362192903,20.1,47,4.9,0,0.900161349944271
1,5,"sep","sat",4.54754107315146,145.4,721.4,2.2082744135228,29.6,27,2.7,0,0.900161349944271
7,4,"aug","sun",4.56226268497681,108.3,647.1,2.89037175789616,16.4,47,1.3,0,0.940007258491471
2,4,"sep","sat",4.54754107315146,145.4,721.4,2.2082744135228,28.6,27,2.2,0,0.959350221334602
2,2,"aug","wed",4.53367418428302,111.2,654.1,2.36085400111802,18.4,45,3.6,0,0.966983846189673
2,4,"aug","wed",4.53367418428302,111.2,654.1,2.36085400111802,20.5,35,4,0,0.970778917158225
7,4,"sep","fri",4.5368913452348,117.9,668,2.58021682959233,19,34,5.8,0,0.989541193613748
7,4,"mar","mon",4.51195780426591,39.7,86.6,1.97408102602201,16.1,29,3.1,0,1.01160091167848
6,4,"aug","thu",4.56642935767166,131.7,578.8,2.43361335540045,20.3,41,4,0,1.06471073699243
6,3,"mar","sat",4.51743127168008,50.1,100.4,2.17475172148416,15.2,31,8.5,0,1.07840958135059
8,6,"sep","sat",4.53796143629464,121.1,674.4,2.26176309847379,17.8,56,1.8,0,1.08180517035173
8,5,"sep","sun",4.50755735712109,90,704.4,1.75785791755237,17.8,67,2.2,0,1.10194007876078
6,5,"mar","thu",4.45318382899021,18.2,55,1.38629436111989,5.3,70,4.5,0,1.14422279992016
6,5,"aug","wed",4.53367418428302,111.2,654.1,2.36085400111802,16.6,47,0.9,0,1.19088756477728
6,5,"aug","wed",4.57471097850338,127.1,570.5,2.86220088092947,23.4,33,4.5,0,1.25561603747777
6,5,"mar","fri",4.52396013056255,48.3,97.8,2.60268968544438,14.6,26,9.4,0,1.26129787094521
8,6,"aug","thu",4.56642935767166,131.7,578.8,2.43361335540045,20.7,45,2.2,0,1.26694760348732
5,4,"sep","wed",4.54223038621422,133.3,699.6,2.32238772029023,21.9,35,1.8,0,1.27256559579155
8,6,"aug","wed",4.46129981556839,90.4,609.6,2.02814824729229,17.4,50,4,0,1.30562645805244
7,4,"aug","sun",4.52612697864764,142.4,601.4,2.45100509811232,20.1,39,5.4,0,1.31908561142644
4,4,"sep","mon",4.52070102936164,126.5,686.5,2.07944154167984,17.7,39,2.2,0,1.4036429994545
1,4,"aug","sat",4.51305489708029,96.9,624.2,2.29253475714054,14.2,53,1.8,0,1.50407739677627
1,4,"aug","sat",4.51305489708029,96.9,624.2,2.29253475714054,20.3,39,4.9,0,1.71018781553424
6,5,"apr","thu",4.41279829334063,9.1,55.2,1.30833281965018,5.8,54,5.8,0,1.72455071953461
2,5,"aug","sun",4.51305489708029,99.6,631.2,1.98787434815435,19.2,44,2.7,0,1.73871024813824
2,5,"sep","wed",4.51195780426591,82.9,735.7,1.97408102602201,18.3,45,2.2,0,1.77155676191054
8,6,"aug","tue",4.49758497530815,147.3,614.5,2.30258509299405,14.4,66,5.4,0,1.82937633279936
1,3,"sep","sun",4.5368913452348,124.1,680.7,2.2512917986065,23.9,32,6.7,0,1.84530023615608
