"X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
8,6,"oct","mon",4.45318382899021,32.8,664.2,1.38629436111989,19.1,32,4,0,1.86252854011626
5,4,"feb","sun",4.47506150064107,15.6,48.3,1.58923520511658,12.4,53,2.2,0,1.99877363861238
7,4,"oct","mon",4.52936847257181,48.5,696.1,2.4932054526027,16.8,45,4.5,0,2.05796251000271
8,6,"aug","fri",4.55282370561588,135.7,586.7,2.77881927199042,20.8,34,4.9,0,2.07442899985629
2,5,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,17.6,46,3.1,0,2.08442908319087
8,6,"mar","sun",4.50313746042294,51.3,102.2,2.36085400111802,11.5,39,5.8,0,2.10291389786498
1,5,"sep","mon",4.52070102936164,126.5,686.5,2.07944154167984,21,42,2.2,0,2.11625551480255
6,4,"mar","sat",4.51961229762644,41.9,89.4,2.18605127673809,13.3,42,0.9,0,2.12823170584927
7,4,"mar","sun",4.51852237926242,44,92.4,1.87180217690159,11.5,60,4,0,2.22354188565359
6,5,"mar","fri",4.52396013056255,48.3,97.8,2.60268968544438,11.7,33,4,0,2.23108909128898
2,5,"aug","thu",4.56642935767166,131.7,578.8,2.43361335540045,24.2,28,2.7,0,2.27006190128849
2,2,"aug","tue",4.56226268497681,108.3,647.1,2.89037175789616,24.6,22,4.5,0,2.27315628230323
4,5,"sep","wed",4.54223038621422,133.3,699.6,2.32238772029023,24.3,25,4,0,2.34276688262688
2,2,"aug","tue",4.56226268497681,108.3,647.1,2.89037175789616,24.6,22,4.5,0,2.39880395073459
2,5,"aug","fri",4.55282370561588,135.7,586.7,2.77881927199042,23.5,36,5.4,0,2.39971180372477
6,5,"apr","thu",4.41279829334063,9.1,55.2,1.30833281965018,5.8,54,5.8,0,2.47905623610982
4,5,"sep","thu",4.54223038621422,137,706.4,2.32238772029023,21.5,15,0.9,0,2.48989419129904
3,4,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,13.9,59,6.3,0,2.50470927708418
2,4,"sep","mon",4.16666522380173,70.8,665.3,0.587786664902119,22.6,38,3.6,0,2.51122395810537
1,5,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,21.6,33,2.2,0,2.52812576890798
6,5,"mar","sun",4.51195780426591,37.6,83.7,2.10413415427021,12.4,54,3.6,0,2.57261223020711
7,4,"feb","sun",4.4414740933173,8.7,32.1,1.1314021114911,8.8,68,2.2,0,2.64262239577975
8,6,"oct","wed",4.52612697864764,37.9,673.8,1.82454929205105,20.2,37,2.7,0,2.68784749378469
5,6,"mar","sat",4.51743127168008,50.1,100.4,2.17475172148416,15.1,64,4,0,2.70738331211451
4,5,"sep","thu",4.54223038621422,137,706.4,2.32238772029023,22.1,34,1.8,0,2.74534598584591
2,2,"aug","sat",4.5485998344997,139.4,594.2,3.05870707271538,22.9,31,7.2,0,2.80032547721138
7,5,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,20.7,37,2.2,0,2.90142159408275
6,5,"sep","fri",4.5368913452348,117.9,668,2.58021682959233,19.6,33,6.3,0,3.00716665117965
8,3,"sep","thu",4.55071400019203,80.9,685.2,2.9391619220656,23.2,26,4.9,0,3.19499288440487
4,4,"oct","sat",4.51743127168008,43.7,686.9,2.04122032885964,18.4,25,3.1,0,3.22803376265297
7,4,"aug","sat",4.5485998344997,139.4,594.2,3.05870707271538,5.1,96,5.8,0,3.29583686600433
7,4,"sep","fri",4.55702981066016,85.1,692.3,2.82731362192903,20.1,47,4.9,0,3.30064012667084
7,3,"mar","mon",4.48413185761104,52.2,103.8,1.79175946922805,11,46,5.8,0,3.34462703017376
4,4,"mar","sat",4.52936847257181,35.8,80.8,2.17475172148416,17,27,4.9,0,3.38979933670979
4,4,"mar","sat",4.52936847257181,35.8,80.8,2.17475172148416,17,27,4.9,0,3.38979933670979
4,4,"sep","sun",4.5368913452348,124.1,680.7,2.2512917986065,16.9,60,1.3,0,3.41707073081845
1,3,"sep","mon",4.49535531998088,91.8,709.9,2.09186406167839,12.4,73,6.3,0,3.4442568711226
4,5,"sep","wed",4.54223038621422,133.3,699.6,2.32238772029023,19.4,19,1.3,0,3.48798651173455
6,5,"mar","mon",4.51195780426591,39.7,86.6,1.97408102602201,15.2,27,3.1,0,3.49225611260912
8,6,"aug","sun",4.51305489708029,99.6,631.2,1.98787434815435,16.2,59,3.1,0,3.4986265269937
3,4,"sep","fri",4.54648118963941,141.2,713.9,2.70136121295141,18.6,49,3.6,0,3.60766939868839
4,3,"mar","mon",4.48413185761104,52.2,103.8,1.79175946922805,11,46,5.8,0,3.63363097988346
2,2,"jul","fri",4.49200148788245,150.3,309.9,2.05412373369555,13.4,79,3.6,0,3.63811233706028
7,4,"sep","wed",4.51195780426591,82.9,735.7,1.97408102602201,15.4,57,4.5,0,3.65609796458956
4,4,"sep","sun",4.5485998344997,149.3,728.6,2.2082744135228,22.9,39,4.9,0,3.902982260776
7,5,"oct","mon",4.52936847257181,48.5,696.1,2.4932054526027,16.1,44,4,0,3.91939575975756
8,6,"aug","sat",4.53474772169155,81.8,480.8,2.55722731136763,20.1,34,4.5,0,4.08260930600368
4,6,"sep","sun",4.5485998344997,149.3,728.6,2.2082744135228,28.3,26,3.1,0,4.17592454921452
8,6,"aug","sat",4.53474772169155,81.8,480.8,2.55722731136763,16.4,43,4,0,4.28082412916472
4,4,"sep","wed",4.54223038621422,133.3,699.6,2.32238772029023,26.4,21,4.5,0,4.49412688719477
1,5,"sep","sun",4.5485998344997,149.3,728.6,2.2082744135228,27.8,27,3.1,0,4.56622143584952
6,4,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,18.7,43,2.7,0,4.64813388542021
9,4,"sep","tue",4.44734610079452,73.4,671.9,1.43508452528932,24.3,36,3.1,0,4.66964620517246
4,5,"sep","sat",4.53796143629464,121.1,674.4,2.26176309847379,17.7,25,3.1,0,5.04908648047051
8,6,"aug","sun",4.52612697864764,142.4,601.4,2.45100509811232,19.6,41,5.8,0,5.28563731339066
2,2,"sep","sat",4.53796143629464,121.1,674.4,2.26176309847379,18.2,46,1.8,0,5.30797062357617
1,2,"sep","tue",4.52178857704904,129.5,692.6,2.07944154167984,18.8,40,2.2,0,5.36541511008053
6,5,"sep","sat",4.53796143629464,121.1,674.4,2.26176309847379,25.1,27,4,0,6.99561962542321
7,5,"apr","sun",4.41763506214125,3,7.9,1.50407739677627,13.4,75,1.8,0,0
6,3,"apr","wed",4.48863636973214,17.2,43.5,1.56861591791385,15.2,51,2.7,0,0
4,4,"apr","fri",4.43081679884331,23.3,85.3,1.19392246847243,16.7,20,3.1,0,0
2,4,"aug","sun",4.55597994179732,122.3,589.9,2.63188884013665,15.4,66,4,0,2.40964416528745
7,4,"aug","sun",4.53044663979215,175.1,700.7,2.69462718077007,21.9,73,7.6,0.693147180559945,0
2,4,"aug","sun",4.53044663979215,175.1,700.7,2.69462718077007,22.4,54,7.6,0,1.35325450704169
3,4,"aug","sun",4.53044663979215,175.1,700.7,2.69462718077007,26.8,38,6.3,0,0.56531380905006
5,4,"aug","sun",4.53044663979215,175.1,700.7,2.69462718077007,25.7,39,5.4,0,0.0861776962410524
2,4,"aug","wed",4.53474772169155,91.6,503.6,2.36085400111802,20.7,70,2.2,0,0.559615787935423
8,6,"aug","wed",4.54435804659133,157.3,666.7,2.67414864942653,28.7,28,2.7,0,0
3,4,"aug","wed",4.54435804659133,157.3,666.7,2.67414864942653,21.7,40,0.4,0,1.24415459395877
8,5,"aug","wed",4.54435804659133,157.3,666.7,2.67414864942653,26.8,25,3.1,0,0.518793793415168
8,5,"aug","wed",4.54435804659133,157.3,666.7,2.67414864942653,24,36,3.1,0,0.215111379616945
6,5,"aug","wed",4.54435804659133,157.3,666.7,2.67414864942653,22.1,37,3.6,0,0.19062035960865
7,4,"aug","thu",4.53152364581979,109.2,565.5,2.19722457733622,21.4,38,2.7,0,0.924258901523332
6,3,"aug","thu",4.52828914165213,138.1,621.7,1.98787434815435,18.9,41,3.1,0,2.42833629829961
2,5,"aug","thu",4.48300255201388,77,694.8,1.79175946922805,22.3,46,4,0,0
8,6,"aug","sat",4.55597994179732,117.2,581.1,2.484906649788,23.9,41,2.2,0,2.19944433407453
4,3,"aug","sat",4.55597994179732,117.2,581.1,2.484906649788,21.4,44,2.7,0,0.518793793415168
3,4,"aug","sat",4.53044663979215,170.9,692.3,2.68784749378469,20.6,59,0.9,0,0
7,4,"aug","sat",4.53044663979215,170.9,692.3,2.68784749378469,23.7,40,1.8,0,0.867100487683383
2,4,"aug","mon",4.54965747605783,97.9,542,2.73436750941958,28.3,32,4,0,2.287471455184
3,4,"aug","fri",4.52828914165213,112.4,573,2.29253475714054,11.2,84,7.6,0,1.45861502269952
2,4,"aug","fri",4.52828914165213,112.4,573,2.29253475714054,21.4,42,3.1,0,1.65822807660353
6,3,"aug","fri",4.52287494326126,141.1,629.1,2.09186406167839,19.3,39,3.6,0,0.940007258491471
4,4,"aug","fri",4.55702981066016,167.6,684.4,2.63905732961526,21.8,53,3.1,0,2.02022218201986
4,4,"aug","tue",4.55071400019203,102.2,550.3,2.74727091425549,22.1,54,7.6,0,0.582215619852664
6,5,"aug","tue",4.55702981066016,131.7,607.1,3.16547504814109,19.4,55,4,0,0.157003748809665
2,2,"aug","tue",4.53367418428302,152.6,658.2,2.72785282839839,23.7,24,3.1,0,0
3,4,"aug","tue",4.53367418428302,152.6,658.2,2.72785282839839,21,32,3.1,0,0
4,4,"aug","tue",4.53367418428302,152.6,658.2,2.72785282839839,19.1,53,2.7,0,1.68639895357023
2,2,"aug","tue",4.53367418428302,152.6,658.2,2.72785282839839,21.8,56,3.1,0,0.418710334858185
8,6,"aug","tue",4.53367418428302,152.6,658.2,2.72785282839839,20.1,58,4.5,0,2.32922702394047
2,5,"aug","tue",4.53367418428302,152.6,658.2,2.72785282839839,20.2,47,4,0,1.40854497005471
4,6,"dec","sun",4.44734610079452,27.2,353.5,2.05412373369555,4.8,57,8.5,0,2.30058309032337
8,6,"dec","wed",4.44265125649032,27.8,354.6,1.84054963339749,5.1,61,8,0,2.50061594349318
4,6,"dec","thu",4.4496852831477,26.4,352,1.09861228866811,5.1,61,4.9,0,1.8531680973567
4,4,"dec","mon",4.45898767581001,25.4,349.7,1.28093384546206,4.6,21,8.5,0,2.93651291389402
3,4,"dec","mon",4.45898767581001,25.4,349.7,1.28093384546206,4.6,21,8.5,0,2.46214966266538
4,4,"dec","mon",4.45898767581001,25.4,349.7,1.28093384546206,4.6,21,8.5,0,3.13679771383259
4,4,"dec","mon",4.45898767581001,25.4,349.7,1.28093384546206,4.6,21,8.5,0,2.3767644911683
4,6,"dec","fri",4.45085282560373,26.7,352.6,1.62924053973028,2.2,59,4.9,0,2.32922702394047
6,5,"dec","tue",4.45898767581001,25.4,349.7,1.28093384546206,5.1,24,8.5,0,3.24921102466427
6,3,"feb","sun",4.45318382899021,27.5,353.5,1.48160454092422,4.2,51,4,0,0
3,4,"feb","wed",4.47619980469113,6.6,18.7,1.43508452528932,8.8,35,3.1,0,0.741937344729377
5,4,"feb","fri",4.45667017766965,4.9,15.8,1.98787434815435,7.5,46,8,0,3.22843003767301
2,5,"jul","sun",4.55282370561588,169.7,411.8,2.58776403522771,23.4,40,6.3,0,0
7,6,"jul","wed",4.52396013056255,183.1,437.7,2.60268968544438,12.6,90,7.6,0.182321556793955,0
7,4,"jul","sat",4.52828914165213,104.2,474.9,2.30258509299405,22.1,49,2.7,0,0
7,4,"jul","sat",4.52828914165213,104.2,474.9,2.30258509299405,24.2,32,1.8,0,0
7,4,"jul","sat",4.52828914165213,104.2,474.9,2.30258509299405,24.3,30,1.8,0,0
2,5,"jul","sat",4.52828914165213,104.2,474.9,2.30258509299405,18.7,53,1.8,0,0
9,4,"jul","sat",4.52828914165213,104.2,474.9,2.30258509299405,25.3,39,0.9,0,2.19722457733622
4,5,"jul","fri",4.52828914165213,100.2,466.3,1.98787434815435,22.9,40,1.3,0,1.29198368164865
7,6,"jul","tue",4.54435804659133,180.4,430.8,2.484906649788,26.9,28,5.4,0,4.47106720146461
8,6,"jul","tue",4.5358201078533,88.8,440.9,2.2512917986065,17.1,67,3.6,0,2.02419306744936
7,5,"jun","sun",4.54435804659133,180.4,430.8,2.484906649788,22.2,48,1.3,0,0
6,4,"jun","sun",4.5152454784601,89.5,290.8,2.00148000021012,14.3,46,1.8,0,0.641853886172395
8,6,"jun","sun",4.5152454784601,89.5,290.8,2.00148000021012,15.4,45,2.2,0,0
8,6,"jun","wed",4.52396013056255,147.8,377.2,2.61739583283408,19.6,43,4.9,0,0
6,5,"jun","sat",3.9963641538619,71,233.8,0.336472236621213,10.6,90,2.7,0,0
6,5,"jun","mon",4.5152454784601,93.3,298.1,2.14006616349627,20.7,25,4.9,0,0
6,5,"jun","mon",4.5152454784601,93.3,298.1,2.14006616349627,19.1,39,5.4,0,1.50851199384414
3,6,"jun","fri",4.52287494326126,94.1,232.1,2.09186406167839,19.2,38,4.5,0,0
3,6,"jun","fri",4.52287494326126,94.1,232.1,2.09186406167839,19.2,38,4.5,0,0
6,5,"may","sat",4.45550941143368,28,113.8,1.50407739677627,11.3,94,4.9,0,0
1,4,"sep","sun",4.50645421304893,84.1,714.3,1.90210752639692,19,52,2.2,0,0
7,4,"sep","sun",4.50645421304893,84.1,714.3,1.90210752639692,17.1,53,5.4,0,0.343589704390077
3,4,"sep","sun",4.50645421304893,84.1,714.3,1.90210752639692,23.8,35,3.6,0,1.8213182714696
2,4,"sep","sun",4.5368913452348,105.8,758.1,2.3887627892351,16,45,1.8,0,0
2,4,"sep","sun",4.5368913452348,105.8,758.1,2.3887627892351,24.9,27,2.2,0,0
7,4,"sep","sun",4.5368913452348,105.8,758.1,2.3887627892351,25.3,27,2.7,0,0
6,3,"sep","sun",4.5368913452348,105.8,758.1,2.3887627892351,24.8,28,1.8,0,2.72719901994097
2,4,"sep","sun",3.93963817246112,46.2,706.6,0.336472236621213,12.2,78,6.3,0,0
6,5,"sep","wed",4.53903038348355,115.4,777.1,2.28238238567653,24.3,27,4.9,0,0
4,4,"sep","wed",4.53903038348355,115.4,777.1,2.28238238567653,19.7,41,1.8,0,0.947789398933526
3,4,"sep","wed",4.52396013056255,134.7,817.5,2.10413415427021,18.5,30,2.7,0,0
4,5,"sep","thu",4.5368913452348,96.2,739.4,2.26176309847379,18.6,24,5.8,0,0
4,4,"sep","thu",4.5368913452348,96.2,739.4,2.26176309847379,19.2,24,4.9,0,1.56444054650336
6,5,"sep","thu",4.54116485601218,119,783.5,2.14006616349627,21.6,27,2.2,0,0
5,4,"sep","thu",4.54116485601218,119,783.5,2.14006616349627,21.6,28,6.3,0,1.68824909285839
6,3,"sep","thu",4.54116485601218,119,783.5,2.14006616349627,18.9,34,7.2,0,3.56558123776944
1,4,"sep","thu",4.54116485601218,119,783.5,2.14006616349627,16.8,28,4,0,2.10535292346434
6,5,"sep","thu",4.54116485601218,119,783.5,2.14006616349627,16.8,28,4,0,0.698134722070984
3,5,"sep","thu",4.51852237926242,136.9,822.8,2.05412373369555,12.9,39,2.7,0,1.15688119679209
6,5,"sep","thu",4.48975933447676,53.3,726.9,1.85629799036563,13.7,56,1.8,0,1.69009581545155
1,4,"sep","sat",4.53474772169155,102.3,751.5,2.24070968927596,24.2,27,3.1,0,0
5,4,"sep","sat",4.53474772169155,102.3,751.5,2.24070968927596,24.1,27,3.1,0,0
6,5,"sep","sat",4.53474772169155,102.3,751.5,2.24070968927596,21.2,32,2.2,0,0
6,5,"sep","sat",4.53474772169155,102.3,751.5,2.24070968927596,19.7,35,1.8,0,0
4,3,"sep","sat",4.53474772169155,102.3,751.5,2.24070968927596,23.5,27,4,0,1.4655675420144
3,3,"sep","sat",4.53474772169155,102.3,751.5,2.24070968927596,24.2,27,3.1,0,2.02551319965428
7,4,"sep","sat",4.52396013056255,124.4,795.3,2.2512917986065,21.5,28,4.5,0,2.81180943539306
4,4,"sep","sat",4.52396013056255,124.4,795.3,2.2512917986065,17.1,41,2.2,0,2.50307395374345
1,4,"sep","mon",4.53367418428302,87.7,721.1,2.35137525716348,18.1,54,3.1,0,1.14103300455206
2,3,"sep","mon",4.52828914165213,108.4,764,1.97408102602201,18,51,5.4,0,0
4,3,"sep","mon",4.52828914165213,108.4,764,1.97408102602201,9.8,86,1.8,0,0
7,4,"sep","mon",4.52828914165213,108.4,764,1.97408102602201,19.3,44,2.2,0,0
6,3,"sep","mon",4.52828914165213,108.4,764,1.97408102602201,23,34,2.2,0,4.04375277610604
8,6,"sep","mon",4.52828914165213,108.4,764,1.97408102602201,22.7,35,2.2,0,2.13771044980381
2,4,"sep","mon",4.52828914165213,108.4,764,1.97408102602201,20.4,41,1.8,0,0.904218150639886
2,5,"sep","mon",4.52828914165213,108.4,764,1.97408102602201,19.3,44,2.2,0,1.5953389880546
8,6,"sep","mon",4.53152364581979,111.7,770.3,2.01490302054226,15.7,51,2.2,0,0
6,3,"sep","mon",4.52720864451838,130.1,807.1,2.14006616349627,20.6,37,1.8,0,0
8,6,"sep","mon",4.52720864451838,130.1,807.1,2.14006616349627,15.9,51,4.5,0,1.15688119679209
6,3,"sep","mon",4.52720864451838,130.1,807.1,2.14006616349627,12.2,66,4.9,0,1.96009478404727
2,2,"sep","mon",4.52720864451838,130.1,807.1,2.14006616349627,16.8,43,3.1,0,1.9213246735827
